Region;Country;Latitude;Longitude;Date;Confirmed;Deaths
;Equatorial Guinea;1.5;10;2/1/20;0;0
;Timor-Leste;-8.874217;125.727539;1/30/20;0;0
;MS Zaandam;0;0;3/16/20;0;0
;New Zealand;-40.9006;174.886;2/3/20;0;0
;Nigeria;9.082;8.6753;3/31/20;135;2
;Panama;8.538;-80.7821;2/18/20;0;0
;Bhutan;27.5142;90.4336;3/15/20;1;0
;Burma;21.9162;95.956;1/31/20;0;0
;Malaysia;2.5;112.5;4/2/20;3116;50
;Portugal;39.3999;-8.2245;2/6/20;0;0
;Guatemala;15.7835;-90.2308;3/11/20;0;0
;Liechtenstein;47.14;9.55;3/29/20;56;0
;Mexico;23.6345;-102.5528;1/29/20;0;0
;Singapore;1.2833;103.8333;3/6/20;130;0
;Diamond Princess;0;0;3/13/20;706;7
;Zimbabwe;-20;30;3/25/20;3;1
;Indonesia;-0.7893;113.9213;1/24/20;0;0
;Western Sahara;24.2155;-12.8858;3/13/20;0;0
;Bahrain;26.0275;50.55;1/23/20;0;0
;Mexico;23.6345;-102.5528;1/30/20;0;0
;Ethiopia;9.145;40.4897;3/7/20;0;0
;Latvia;56.8796;24.6032;3/11/20;10;0
;Lebanon;33.8547;35.8623;3/29/20;438;10
;Moldova;47.4116;28.3699;3/13/20;6;0
;Mauritius;-20.2;57.5;3/30/20;128;3
;Sudan;12.8628;30.2176;2/28/20;0;0
;Lebanon;33.8547;35.8623;3/30/20;446;11
;Venezuela;6.4238;-66.5897;4/1/20;143;3
;Burma;21.9162;95.956;3/2/20;0;0
;Croatia;45.1;15.2;1/25/20;0;0
;Dominican Republic;18.7357;-70.1627;3/28/20;719;28
;Thailand;15;101;2/6/20;25;0
;Gabon;-0.8037;11.6094;2/11/20;0;0
;Oman;21;57;1/24/20;0;0
;Benin;9.3077;2.3158;3/26/20;6;0
;Sweden;63;16;4/3/20;6131;358
;Congo (Brazzaville);-4.0383;21.7587;3/9/20;0;0
;South Africa;-30.5595;22.9375;3/28/20;1187;1
;Liechtenstein;47.14;9.55;3/17/20;7;0
;India;21;78;2/25/20;3;0
;Sudan;12.8628;30.2176;4/1/20;7;2
;Suriname;3.9193;-56.0278;3/17/20;1;0
;Denmark;56.2639;9.5018;4/7/20;5071;0
;Syria;34.802075;38.996815;2/20/20;0;0
;Peru;-9.19;-75.0152;3/2/20;0;0
;Montenegro;42.5;19.3;2/1/20;0;0
;Iraq;33;44;1/25/20;0;0
;Finland;64;26;3/23/20;700;1
;Argentina;-38.4161;-63.6167;2/20/20;0;0
;Pakistan;30.3753;69.3451;2/1/20;0;0
;El Salvador;13.7942;-88.8965;3/21/20;3;0
;Somalia;5.1521;46.1996;4/3/20;7;0
;Belarus;53.7098;27.9534;2/17/20;0;0
;Somalia;5.1521;46.1996;2/15/20;0;0
;Antigua and Barbuda;17.0608;-61.7964;3/26/20;7;0
;Finland;64;26;3/11/20;59;0
;Equatorial Guinea;1.5;10;2/17/20;0;0
;Denmark;56.2639;9.5018;1/27/20;0;0
;Nepal;28.1667;84.25;4/8/20;9;0
;Western Sahara;24.2155;-12.8858;1/24/20;0;0
;Dominican Republic;18.7357;-70.1627;3/16/20;11;0
;Fiji;-17.7134;178.065;3/4/20;0;0
;Taiwan*;23.7;121;3/11/20;48;1
;Argentina;-38.4161;-63.6167;2/19/20;0;0
;Venezuela;6.4238;-66.5897;2/21/20;0;0
;South Africa;-30.5595;22.9375;3/16/20;62;0
;Taiwan*;23.7;121;3/23/20;195;2
;Romania;45.9432;24.9668;1/28/20;0;0
;MS Zaandam;0;0;3/28/20;2;0
;Uganda;1;32;1/25/20;0;0
;Belarus;53.7098;27.9534;2/29/20;1;0
;Czechia;49.8175;15.473;2/13/20;0;0
;Djibouti;11.8251;42.5903;3/26/20;11;0
;Finland;64;26;4/5/20;1927;28
;Suriname;3.9193;-56.0278;3/29/20;8;0
;Indonesia;-0.7893;113.9213;3/13/20;69;4
;Uruguay;-32.5228;-55.7658;3/22/20;158;0
;United Arab Emirates;24;54;3/10/20;74;0
;Kuwait;29.5;47.75;3/10/20;69;0
;Mozambique;-18.665695;35.529562;2/18/20;0;0
Western Australia;Australia;-31.9505;115.8605;3/1/20;2;0
;Bhutan;27.5142;90.4336;3/27/20;3;0
;Syria;34.802075;38.996815;2/19/20;0;0
;Diamond Princess;0;0;1/24/20;0;0
;Liechtenstein;47.14;9.55;3/6/20;1;0
;Sudan;12.8628;30.2176;2/16/20;0;0
;South Sudan;6.877;31.307;1/22/20;0;0
;Botswana;-22.3285;24.6849;2/21/20;0;0
;Uzbekistan;41.3775;64.5853;3/3/20;0;0
;Grenada;12.1165;-61.679;3/13/20;0;0
;Ireland;53.1424;-7.6921;2/7/20;0;0
;Mexico;23.6345;-102.5528;4/8/20;2785;141
;Saudi Arabia;24;45;3/3/20;1;0
;Georgia;42.3154;43.3569;3/27/20;83;0
;Central African Republic;6.6111;20.9394;3/8/20;0;0
;Saint Kitts and Nevis;17.357822;-62.782998;2/3/20;0;0
;Iran;32;53;1/29/20;0;0
;Sweden;63;16;2/16/20;1;0
;Laos;19.85627;102.495496;2/15/20;0;0
;Bulgaria;42.7339;25.4858;2/14/20;0;0
;Madagascar;-18.7669;46.8691;3/16/20;0;0
;Iran;32;53;1/30/20;0;0
;Madagascar;-18.7669;46.8691;3/28/20;26;0
;Guatemala;15.7835;-90.2308;1/22/20;0;0
;Mexico;23.6345;-102.5528;3/18/20;93;0
;Guinea;9.9456;-9.6966;2/28/20;0;0
;Chad;15.4542;18.7322;3/7/20;0;0
;Russia;60;90;4/4/20;4731;43
;Rwanda;-1.9403;29.8739;3/28/20;60;0
;Seychelles;-4.6796;55.492;3/10/20;0;0
;Uganda;1;32;3/14/20;0;0
;Bahrain;26.0275;50.55;3/12/20;195;0
;Trinidad and Tobago;10.6918;-61.2225;3/25/20;60;1
;Germany;51;9;1/28/20;4;0
;Latvia;56.8796;24.6032;1/22/20;0;0
;Malaysia;2.5;112.5;1/31/20;8;0
;Iceland;64.9631;-19.0208;2/13/20;0;0
;Lebanon;33.8547;35.8623;1/28/20;0;0
;Mauritius;-20.2;57.5;1/28/20;0;0
;Sri Lanka;7;81;2/6/20;1;0
;Sweden;63;16;2/28/20;7;0
;Bahrain;26.0275;50.55;4/1/20;569;4
;Andorra;42.5063;1.5218;3/7/20;1;0
;Papua New Guinea;-6.315;143.9555;2/15/20;0;0
;Laos;19.85627;102.495496;2/27/20;0;0
;Ecuador;-1.8312;-78.1834;1/25/20;0;0
;Norway;60.472;8.4689;1/26/20;0;0
;Congo (Brazzaville);-4.0383;21.7587;2/12/20;0;0
;Monaco;43.7333;7.4167;2/3/20;0;0
;Latvia;56.8796;24.6032;3/8/20;2;0
;Grenada;12.1165;-61.679;3/25/20;1;0
;Greece;39.0742;21.8243;3/9/20;73;0
;Switzerland;46.8182;8.2275;3/19/20;4075;41
;Sao Tome and Principe;0.18636;6.613081;1/22/20;0;0
;Niger;17.6078;8.0817;3/16/20;0;0
;Dominica;15.415;-61.371;1/26/20;0;0
;Egypt;26;30;3/27/20;536;30
;Zambia;-15.4167;28.2833;1/27/20;0;0
;Bhutan;27.5142;90.4336;1/26/20;0;0
;Uganda;1;32;3/26/20;14;0
;Belize;13.1939;-59.5432;4/4/20;4;0
;Guatemala;15.7835;-90.2308;2/3/20;0;0
;Moldova;47.4116;28.3699;2/7/20;0;0
;Trinidad and Tobago;10.6918;-61.2225;3/13/20;0;0
;Iceland;64.9631;-19.0208;2/25/20;0;0
;Switzerland;46.8182;8.2275;3/20/20;5294;54
;Uzbekistan;41.3775;64.5853;3/17/20;10;0
;Ghana;7.9465;-1.0232;3/2/20;0;0
;Georgia;42.3154;43.3569;3/15/20;33;0
;Timor-Leste;-8.874217;125.727539;3/18/20;0;0
;Afghanistan;33;65;2/3/20;0;0
;Georgia;42.3154;43.3569;3/6/20;4;0
;"Korea; South";36;1/23/20;1;0
;Croatia;45.1;15.2;4/1/20;963;6
;Nicaragua;12.8654;-85.2072;2/19/20;0;0
;Equatorial Guinea;1.5;10;2/29/20;0;0
;Guinea;9.9456;-9.6966;4/4/20;111;0
;Eritrea;15.1794;39.7823;3/25/20;4;0
;Japan;36;138;3/28/20;1693;52
;Equatorial Guinea;1.5;10;4/5/20;16;0
;Papua New Guinea;-6.315;143.9555;2/27/20;0;0
;Nicaragua;12.8654;-85.2072;2/20/20;0;0
;Andorra;42.5063;1.5218;2/23/20;0;0
;Angola;-11.2027;17.8739;2/25/20;0;0
;Bangladesh;23.685;90.3563;2/6/20;0;0
;Cameroon;3.848;11.5021;4/5/20;650;9
;Madagascar;-18.7669;46.8691;3/6/20;0;0
;Qatar;25.3548;51.1839;4/7/20;2057;6
;Bosnia and Herzegovina;43.9159;17.6791;2/15/20;0;0
;Jordan;31.24;36.51;1/24/20;0;0
;Haiti;18.9712;-72.2852;2/2/20;0;0
;Cambodia;11.55;104.9167;3/22/20;84;0
;Colombia;4.5709;-74.2973;1/30/20;0;0
;Sierra Leone;8.460555;-11.779889;2/10/20;0;0
;Timor-Leste;-8.874217;125.727539;3/31/20;1;0
;Bosnia and Herzegovina;43.9159;17.6791;2/27/20;0;0
;Italy;43;12;2/20/20;3;0
;Mongolia;46.8625;103.8467;3/3/20;0;0
;Bulgaria;42.7339;25.4858;2/26/20;0;0
;Congo (Kinshasa);-4.0383;21.7587;2/8/20;0;0
;Ecuador;-1.8312;-78.1834;3/5/20;13;0
;Colombia;4.5709;-74.2973;1/29/20;0;0
;Sierra Leone;8.460555;-11.779889;2/7/20;0;0
;Angola;-11.2027;17.8739;2/6/20;0;0
;Cambodia;11.55;104.9167;3/10/20;2;0
;Egypt;26;30;2/1/20;0;0
;Algeria;28.0339;1.6596;3/3/20;5;0
;Cabo Verde;16.5388;-23.0418;1/23/20;0;0
;Slovakia;48.669;19.699;2/15/20;0;0
;Bahrain;26.0275;50.55;3/24/20;392;3
;Lebanon;33.8547;35.8623;4/4/20;520;17
;Benin;9.3077;2.3158;1/25/20;0;0
Saint Pierre and Miquelon;France;46.8852;-56.3159;1/27/20;0;0
;Czechia;49.8175;15.473;4/1/20;3508;39
;Maldives;3.2028;73.2207;1/27/20;0;0
;Egypt;26;30;3/15/20;110;2
;Liberia;6.4281;-9.4295;4/2/20;6;0
;Thailand;15;101;3/18/20;212;1
;Italy;43;12;2/19/20;3;0
;North Macedonia;41.6086;21.7453;3/3/20;1;0
;Sierra Leone;8.460555;-11.779889;2/22/20;0;0
"Bonaire; Sint Eustatius and Saba";Netherlands;12.1784;2/16/20;0;0
;Hungary;47.1625;19.5033;3/3/20;0;0
;Rwanda;-1.9403;29.8739;3/16/20;5;0
;San Marino;43.9424;12.4578;2/8/20;0;0
;Cameroon;3.848;11.5021;2/1/20;0;0
;Antigua and Barbuda;17.0608;-61.7964;1/25/20;0;0
;Hungary;47.1625;19.5033;2/21/20;0;0
;US;37.0902;-95.7129;2/6/20;11;0
;Kosovo;42.602636;20.902977;3/19/20;0;0
;Belize;13.1939;-59.5432;3/20/20;0;0
"Bonaire; Sint Eustatius and Saba";Netherlands;12.1784;2/28/20;0;0
;Ghana;7.9465;-1.0232;2/22/20;0;0
;Poland;51.9194;19.1451;2/19/20;0;0
;Portugal;39.3999;-8.2245;2/17/20;0;0
;Belarus;53.7098;27.9534;2/9/20;0;0
;Croatia;45.1;15.2;3/5/20;10;0
;Kosovo;42.602636;20.902977;3/20/20;0;0
;Vietnam;16;108;2/11/20;15;0
;Thailand;15;101;3/31/20;1651;10
;Saint Lucia;13.9094;-60.9789;3/10/20;0;0
;Malta;35.9375;14.3754;4/5/20;227;0
;Brunei;4.5353;114.7277;2/22/20;0;0
;Costa Rica;9.7489;-83.7534;2/16/20;0;0
"Bonaire; Sint Eustatius and Saba";Netherlands;12.1784;2/1/20;0;0
;Tunisia;34;9;3/2/20;0;0
;Peru;-9.19;-75.0152;2/15/20;0;0
;Slovakia;48.669;19.699;2/27/20;0;0
;Malta;35.9375;14.3754;3/19/20;53;0
;Peru;-9.19;-75.0152;1/27/20;0;0
;Armenia;40.0691;45.0382;3/14/20;18;0
;Costa Rica;9.7489;-83.7534;2/28/20;0;0
;Saint Lucia;13.9094;-60.9789;2/22/20;0;0
;Honduras;15.2;-86.2419;1/30/20;0;0
;Kazakhstan;48.0196;66.9237;2/21/20;0;0
;Estonia;58.5953;25.0136;1/29/20;0;0
;Serbia;44.0165;21.0059;1/25/20;0;0
;Chad;15.4542;18.7322;2/24/20;0;0
;Nigeria;9.082;8.6753;3/18/20;8;0
;Brunei;4.5353;114.7277;2/10/20;0;0
;Saint Lucia;13.9094;-60.9789;3/22/20;2;0
;Namibia;-22.9576;18.4904;2/5/20;0;0
;Japan;36;138;3/16/20;839;27
;Western Sahara;24.2155;-12.8858;2/6/20;0;0
;Chad;15.4542;18.7322;4/3/20;8;0
;Costa Rica;9.7489;-83.7534;1/28/20;0;0
;Portugal;39.3999;-8.2245;2/29/20;0;0
;Kuwait;29.5;47.75;3/2/20;56;0
;Bolivia;-16.2902;-63.5887;2/4/20;0;0
;Andorra;42.5063;1.5218;2/11/20;0;0
;Eritrea;15.1794;39.7823;3/13/20;0;0
;Bangladesh;23.685;90.3563;1/24/20;0;0
;Guyana;5;-58.75;3/10/20;0;0
;Brazil;-14.235;-51.9253;1/27/20;0;0
;Chile;-35.6751;-71.543;2/4/20;0;0
;Djibouti;11.8251;42.5903;2/8/20;0;0
;Ukraine;48.3794;31.1656;2/3/20;0;0
;Guinea-Bissau;11.8037;-15.1804;1/26/20;0;0
;West Bank and Gaza;31.9522;35.2332;2/21/20;0;0
;San Marino;43.9424;12.4578;1/22/20;0;0
;Poland;51.9194;19.1451;2/20/20;0;0
;Holy See;41.9029;12.4534;3/15/20;1;0
;Estonia;58.5953;25.0136;4/3/20;961;12
;New Zealand;-40.9006;174.886;1/30/20;0;0
Saint Pierre and Miquelon;France;46.8852;-56.3159;3/1/20;0;0
;Bolivia;-16.2902;-63.5887;1/22/20;0;0
;Ireland;53.1424;-7.6921;1/22/20;0;0
;Barbados;13.1939;-59.5432;2/15/20;0;0
;Cambodia;11.55;104.9167;4/2/20;110;0
;Cyprus;35.1264;33.4299;2/25/20;0;0
;Afghanistan;33;65;4/7/20;423;14
;Kazakhstan;48.0196;66.9237;3/21/20;53;0
;Saudi Arabia;24;45;2/11/20;0;0
;Namibia;-22.9576;18.4904;2/21/20;0;0
;Venezuela;6.4238;-66.5897;2/8/20;0;0
;Trinidad and Tobago;10.6918;-61.2225;3/9/20;0;0
;Dominica;15.415;-61.371;4/6/20;15;0
;Chad;15.4542;18.7322;3/24/20;3;0
;Belarus;53.7098;27.9534;3/5/20;6;0
;Uzbekistan;41.3775;64.5853;3/29/20;144;2
;Tanzania;-6.369;34.8888;2/14/20;0;0
;Ghana;7.9465;-1.0232;1/22/20;0;0
;Malaysia;2.5;112.5;2/9/20;16;0
;Saint Vincent and the Grenadines;12.9843;-61.2872;2/15/20;0;0
;Morocco;31.7917;-7.0926;3/4/20;1;0
;Tunisia;34;9;3/14/20;18;0
;Poland;51.9194;19.1451;3/1/20;0;0
;Eswatini;-26.5225;31.4659;1/25/20;0;0
;New Zealand;-40.9006;174.886;1/29/20;0;0
;Guyana;5;-58.75;3/22/20;19;1
;Saint Vincent and the Grenadines;12.9843;-61.2872;2/27/20;0;0
;Vietnam;16;108;2/23/20;16;0
;Belgium;50.8333;4;2/10/20;1;0
;Malta;35.9375;14.3754;3/20/20;64;0
;Holy See;41.9029;12.4534;3/27/20;4;0
;Israel;31;35;2/19/20;0;0
;Chad;15.4542;18.7322;3/12/20;0;0
;Bulgaria;42.7339;25.4858;3/7/20;0;0
;Montenegro;42.5;19.3;3/28/20;84;1
;New Zealand;-40.9006;174.886;4/7/20;1160;1
;Denmark;56.2639;9.5018;2/3/20;0;0
;Congo (Kinshasa);-4.0383;21.7587;3/4/20;0;0
;Israel;31;35;3/20/20;529;0
;Cyprus;35.1264;33.4299;2/13/20;0;0
;Ghana;7.9465;-1.0232;2/10/20;0;0
;Russia;60;90;2/17/20;2;0
;Uzbekistan;41.3775;64.5853;3/30/20;149;2
;Armenia;40.0691;45.0382;3/26/20;290;1
;Togo;8.6195;0.8248;3/24/20;20;0
;Greece;39.0742;21.8243;3/21/20;530;13
;Kosovo;42.602636;20.902977;3/6/20;0;0
;Kyrgyzstan;41.2044;74.7661;3/21/20;14;0
;Egypt;26;30;3/8/20;49;1
;Mexico;23.6345;-102.5528;2/4/20;0;0
;San Marino;43.9424;12.4578;3/4/20;16;1
;Israel;31;35;2/20/20;0;0
;North Macedonia;41.6086;21.7453;2/7/20;0;0
;Brunei;4.5353;114.7277;2/3/20;0;0
;Tunisia;34;9;3/26/20;197;6
;Saint Vincent and the Grenadines;12.9843;-61.2872;3/15/20;1;0
;Chad;15.4542;18.7322;2/12/20;0;0
;Barbados;13.1939;-59.5432;2/27/20;0;0
;Guinea;9.9456;-9.6966;2/16/20;0;0
;Cote d'Ivoire;7.54;-5.5471;4/4/20;245;1
;Tanzania;-6.369;34.8888;2/26/20;0;0
;Belgium;50.8333;4;1/22/20;0;0
;Cuba;22;-80;2/6/20;0;0
;Saint Lucia;13.9094;-60.9789;2/10/20;0;0
;Seychelles;-4.6796;55.492;3/22/20;7;0
;Israel;31;35;3/19/20;427;0
;Cabo Verde;16.5388;-23.0418;4/5/20;7;1
;Indonesia;-0.7893;113.9213;2/8/20;0;0
;Estonia;58.5953;25.0136;1/30/20;0;0
;Mongolia;46.8625;103.8467;1/30/20;0;0
;Estonia;58.5953;25.0136;3/7/20;10;0
;Uzbekistan;41.3775;64.5853;2/17/20;0;0
;Nicaragua;12.8654;-85.2072;3/20/20;1;0
;Panama;8.538;-80.7821;3/20/20;137;1
;Jamaica;18.1096;-77.2975;3/3/20;0;0
;Taiwan*;23.7;121;2/22/20;26;1
;US;37.0902;-95.7129;3/3/20;118;7
;Estonia;58.5953;25.0136;3/18/20;258;0
;Sudan;12.8628;30.2176;3/29/20;6;1
;Senegal;14.4974;-14.4524;2/5/20;0;0
;Greece;39.0742;21.8243;4/6/20;1755;79
;Monaco;43.7333;7.4167;2/21/20;0;0
;Cyprus;35.1264;33.4299;3/14/20;26;0
;Niger;17.6078;8.0817;2/28/20;0;0
;Moldova;47.4116;28.3699;2/12/20;0;0
;Barbados;13.1939;-59.5432;3/27/20;24;0
;Niger;17.6078;8.0817;2/16/20;0;0
;Moldova;47.4116;28.3699;2/24/20;0;0
;Albania;41.1533;20.1683;4/1/20;259;15
;Colombia;4.5709;-74.2973;2/18/20;0;0
;Andorra;42.5063;1.5218;3/24/20;164;1
;Uzbekistan;41.3775;64.5853;2/29/20;0;0
;Guatemala;15.7835;-90.2308;2/10/20;0;0
;Taiwan*;23.7;121;2/10/20;18;0
;Seychelles;-4.6796;55.492;2/6/20;0;0
;Tanzania;-6.369;34.8888;2/9/20;0;0
;Gabon;-0.8037;11.6094;1/22/20;0;0
;Guinea;9.9456;-9.6966;3/8/20;0;0
Yukon;Canada;64.2823;-135;3/10/20;0;0
;Panama;8.538;-80.7821;3/19/20;109;1
;Guatemala;15.7835;-90.2308;2/22/20;0;0
;Estonia;58.5953;25.0136;3/31/20;745;4
;Slovenia;46.1512;14.9955;2/14/20;0;0
;Holy See;41.9029;12.4534;3/3/20;0;0
Yukon;Canada;64.2823;-135;3/22/20;0;1
;Lebanon;33.8547;35.8623;3/8/20;32;0
;Uganda;1;32;3/4/20;0;0
;Algeria;28.0339;1.6596;2/7/20;0;0
;Lebanon;33.8547;35.8623;2/16/20;0;0
;El Salvador;13.7942;-88.8965;2/19/20;0;0
;El Salvador;13.7942;-88.8965;2/20/20;0;0
;Sudan;12.8628;30.2176;3/17/20;1;1
;Sweden;63;16;1/28/20;0;0
;Algeria;28.0339;1.6596;3/18/20;74;7
;Niger;17.6078;8.0817;4/8/20;342;11
;Portugal;39.3999;-8.2245;3/2/20;2;0
;Djibouti;11.8251;42.5903;2/25/20;0;0
;Mexico;23.6345;-102.5528;2/18/20;0;0
;Latvia;56.8796;24.6032;4/5/20;533;1
;Paraguay;-23.4425;-58.4438;3/14/20;6;0
;Tanzania;-6.369;34.8888;1/25/20;0;0
;Switzerland;46.8182;8.2275;2/18/20;0;0
;Lebanon;33.8547;35.8623;2/28/20;2;0
;Norway;60.472;8.4689;2/27/20;1;0
;Cabo Verde;16.5388;-23.0418;2/24/20;0;0
;Mexico;23.6345;-102.5528;3/1/20;5;0
;Slovakia;48.669;19.699;1/27/20;0;0
;Kosovo;42.602636;20.902977;2/19/20;0;0
;Jamaica;18.1096;-77.2975;3/27/20;26;1
;Thailand;15;101;3/2/20;43;1
;Dominican Republic;18.7357;-70.1627;3/2/20;1;0
;Central African Republic;6.6111;20.9394;4/4/20;8;0
;South Sudan;6.877;31.307;2/23/20;0;0
;Georgia;42.3154;43.3569;2/15/20;0;0
;Bosnia and Herzegovina;43.9159;17.6791;1/27/20;0;0
;Jordan;31.24;36.51;2/12/20;0;0
;Somalia;5.1521;46.1996;3/28/20;3;0
;Laos;19.85627;102.495496;1/26/20;0;0
;Serbia;44.0165;21.0059;2/25/20;0;0
;Uzbekistan;41.3775;64.5853;2/7/20;0;0
;Zambia;-15.4167;28.2833;2/3/20;0;0
;Georgia;42.3154;43.3569;4/2/20;134;0
;Germany;51;9;2/3/20;12;0
;"Korea; South";36;2/4/20;15;0
;Cabo Verde;16.5388;-23.0418;2/12/20;0;0
